tokenizer,omitted_issue_date,n_omitted,n_remaining,metric,full_sample,omission_value,pct_change
BETO,20220815,10,390,P90,9800.400000000009,9841.90000000002,0.4234521039958583
BETO,20220815,10,390,P95,18110.89999999993,18889.89999999993,4.301277131451253
BETO,20221015,10,390,mediana,819.0,839.5,2.503052503052494
BETO,20221015,10,390,P90,9800.400000000009,10223.50000000001,4.317170727725395
BETO,20221015,10,390,P95,18110.89999999993,18889.89999999993,4.301277131451253
BETO,20221115,10,390,mediana,819.0,839.5,2.503052503052494
BETO,20221115,10,390,P90,9800.400000000009,10223.50000000001,4.317170727725395
BETO,20221115,10,390,P95,18110.89999999993,18889.89999999993,4.301277131451253
BETO,20230116,10,390,mediana,819.0,794.0,-3.0525030525030528
BETO,20230116,10,390,P90,9800.400000000009,8245.700000000028,-15.863638218847997
BETO,20230116,10,390,P95,18110.89999999993,17617.499999999978,-2.7243262344773145
BETO,20230215,10,390,mediana,819.0,845.0,3.1746031746031855
BETO,20230215,10,390,P90,9800.400000000009,10223.50000000001,4.317170727725395
BETO,20230215,10,390,P95,18110.89999999993,18889.89999999993,4.301277131451253
BETO,20230415,10,390,mediana,819.0,819.0,0.0
BETO,20230415,10,390,P90,9800.400000000009,9735.600000000011,-0.6611975021427408
BETO,20230415,10,390,P95,18110.89999999993,18889.89999999993,4.301277131451253
BETO,20230515,10,390,mediana,819.0,819.0,0.0
BETO,20230515,10,390,P90,9800.400000000009,10223.50000000001,4.317170727725395
BETO,20230515,10,390,P95,18110.89999999993,18889.89999999993,4.301277131451253
BETO,20230715,10,390,mediana,819.0,801.5,-2.1367521367521403
BETO,20230715,10,390,P90,9800.400000000009,9375.500000000007,-4.335537325007155
BETO,20230715,10,390,P95,18110.89999999993,17617.499999999978,-2.7243262344773145
BETO,20230815,10,390,mediana,819.0,819.0,0.0
BETO,20230815,10,390,P90,9800.400000000009,10223.50000000001,4.317170727725395
BETO,20230815,10,390,P95,18110.89999999993,18889.89999999993,4.301277131451253
BETO,20231016,10,390,mediana,819.0,801.5,-2.1367521367521403
BETO,20231016,10,390,P90,9800.400000000009,10223.50000000001,4.317170727725395
BETO,20231016,10,390,P95,18110.89999999993,18889.89999999993,4.301277131451253
BETO,20231115,10,390,mediana,819.0,807.5,-1.4041514041513992
BETO,20231115,10,390,P90,9800.400000000009,9800.400000000009,0.0
BETO,20231115,10,390,P95,18110.89999999993,17941.19999999999,-0.9370047871720355
BETO,20240115,10,390,mediana,819.0,807.5,-1.4041514041513992
BETO,20240115,10,390,P90,9800.400000000009,10223.50000000001,4.317170727725395
BETO,20240115,10,390,P95,18110.89999999993,18889.89999999993,4.301277131451253
BETO,20240215,10,390,mediana,819.0,819.0,0.0
BETO,20240215,10,390,P90,9800.400000000009,9800.400000000009,0.0
BETO,20240215,10,390,P95,18110.89999999993,17941.19999999999,-0.9370047871720355
BETO,20240415,10,390,mediana,819.0,839.5,2.503052503052494
BETO,20240415,10,390,P90,9800.400000000009,10223.50000000001,4.317170727725395
BETO,20240415,10,390,P95,18110.89999999993,18889.89999999993,4.301277131451253
BETO,20240515,10,390,mediana,819.0,801.5,-2.1367521367521403
BETO,20240515,10,390,P90,9800.400000000009,9693.2,-1.0938329047794793
BETO,20240515,10,390,P95,18110.89999999993,18889.89999999993,4.301277131451253
BETO,20240715,11,389,mediana,819.0,805.0,-1.7094017094017144
BETO,20240715,11,389,P90,9800.400000000009,9842.799999999996,0.43263540263649425
BETO,20240715,11,389,P95,18110.89999999993,17951.399999999994,-0.8806851122800885
BETO,20240815,10,390,mediana,819.0,819.0,0.0
BETO,20240815,10,390,P90,9800.400000000009,10223.50000000001,4.317170727725395
BETO,20240815,10,390,P95,18110.89999999993,18889.89999999993,4.301277131451253
BETO,20241015,10,390,mediana,819.0,807.5,-1.4041514041513992
BETO,20241015,10,390,P90,9800.400000000009,9693.2,-1.0938329047794793
BETO,20241015,10,390,P95,18110.89999999993,17617.499999999978,-2.7243262344773145
BETO,20241115,9,391,mediana,819.0,810.0,-1.098901098901095
BETO,20241115,9,391,P90,9800.400000000009,9758.0,-0.4326354026367163
BETO,20241115,9,391,P95,18110.89999999993,18812.0,3.8711494183065076
BETO,20250115,10,390,mediana,819.0,819.0,0.0
BETO,20250115,10,390,P90,9800.400000000009,9375.500000000007,-4.335537325007155
BETO,20250115,10,390,P95,18110.89999999993,17617.499999999978,-2.7243262344773145
BETO,20250215,10,390,mediana,819.0,831.5,1.5262515262515208
BETO,20250215,10,390,P90,9800.400000000009,10223.50000000001,4.317170727725395
BETO,20250215,10,390,P95,18110.89999999993,18889.89999999993,4.301277131451253
BETO,20250415,10,390,mediana,819.0,819.0,0.0
BETO,20250415,10,390,P90,9800.400000000009,9375.500000000007,-4.335537325007155
BETO,20250415,10,390,P95,18110.89999999993,17941.19999999999,-0.9370047871720355
BETO,20250515,10,390,mediana,819.0,831.5,1.5262515262515208
BETO,20250515,10,390,P90,9800.400000000009,10223.50000000001,4.317170727725395
BETO,20250515,10,390,P95,18110.89999999993,18889.89999999993,4.301277131451253
BETO,20250715,10,390,mediana,819.0,839.5,2.503052503052494
BETO,20250715,10,390,P90,9800.400000000009,9800.400000000009,0.0
BETO,20250715,10,390,P95,18110.89999999993,17941.19999999999,-0.9370047871720355
BETO,20250815,10,390,mediana,819.0,807.5,-1.4041514041513992
BETO,20250815,10,390,P90,9800.400000000009,9800.400000000009,0.0
BETO,20250815,10,390,P95,18110.89999999993,18889.89999999993,4.301277131451253
BETO,20251015,10,390,mediana,819.0,839.5,2.503052503052494
BETO,20251015,10,390,P90,9800.400000000009,9693.2,-1.0938329047794793
BETO,20251015,10,390,P95,18110.89999999993,17941.19999999999,-0.9370047871720355
BETO,20251115,10,390,mediana,819.0,831.5,1.5262515262515208
BETO,20251115,10,390,P90,9800.400000000009,10223.50000000001,4.317170727725395
BETO,20251115,10,390,P95,18110.89999999993,18889.89999999993,4.301277131451253
RoBERTalex,20210115,10,390,mediana,759.5,751.5,-1.0533245556286985
RoBERTalex,20210115,10,390,P90,8905.900000000005,8268.900000000016,-7.152561784884048
RoBERTalex,20210115,10,390,P95,16621.85,16650.35,0.1714610587870702
RoBERTalex,20210215,10,390,mediana,759.5,759.5,0.0
RoBERTalex,20210215,10,390,P90,8905.900000000005,9173.600000000008,3.005872511481189
RoBERTalex,20210215,10,390,P95,16621.85,16650.35,0.1714610587870702
RoBERTalex,20210415,10,390,mediana,759.5,759.5,0.0
RoBERTalex,20210415,10,390,P90,8905.900000000005,8268.900000000016,-7.152561784884048
RoBERTalex,20210415,10,390,P95,16621.85,15695.849999999991,-5.57098036620477
RoBERTalex,20210515,10,390,mediana,759.5,763.5,0.5266622778143493
RoBERTalex,20210515,10,390,P90,8905.900000000005,8268.900000000016,-7.152561784884048
RoBERTalex,20210515,10,390,P95,16621.85,16245.499999999962,-2.264188402614853
RoBERTalex,20210715,10,390,mediana,759.5,761.0,0.19749835418039208
RoBERTalex,20210715,10,390,P90,8905.900000000005,8905.900000000005,0.0
RoBERTalex,20210715,10,390,P95,16621.85,16245.499999999962,-2.264188402614853
RoBERTalex,20210816,10,390,mediana,759.5,759.5,0.0
RoBERTalex,20210816,10,390,P90,8905.900000000005,8905.900000000005,0.0
RoBERTalex,20210816,10,390,P95,16621.85,16650.35,0.1714610587870702
RoBERTalex,20211015,10,390,mediana,759.5,773.0,1.7774851876234399
RoBERTalex,20211015,10,390,P90,8905.900000000005,8905.900000000005,0.0
RoBERTalex,20211015,10,390,P95,16621.85,16245.499999999962,-2.264188402614853
RoBERTalex,20211115,10,390,mediana,759.5,751.5,-1.0533245556286985
RoBERTalex,20211115,10,390,P90,8905.900000000005,8905.900000000005,0.0
RoBERTalex,20211115,10,390,P95,16621.85,16650.35,0.1714610587870702
RoBERTalex,20220115,10,390,mediana,759.5,742.0,-2.304147465437789
RoBERTalex,20220115,10,390,P90,8905.900000000005,8905.900000000005,0.0
RoBERTalex,20220115,10,390,P95,16621.85,16245.499999999962,-2.264188402614853
RoBERTalex,20220215,10,390,mediana,759.5,763.5,0.5266622778143493
RoBERTalex,20220215,10,390,P90,8905.900000000005,9173.600000000008,3.005872511481189
RoBERTalex,20220215,10,390,P95,16621.85,16650.35,0.1714610587870702
RoBERTalex,20220415,10,390,mediana,759.5,759.5,0.0
RoBERTalex,20220415,10,390,P90,8905.900000000005,9173.600000000008,3.005872511481189
RoBERTalex,20220415,10,390,P95,16621.85,16650.35,0.1714610587870702
RoBERTalex,20220516,10,390,mediana,759.5,763.5,0.5266622778143493
RoBERTalex,20220516,10,390,P90,8905.900000000005,8905.900000000005,0.0
RoBERTalex,20220516,10,390,P95,16621.85,16650.35,0.1714610587870702
RoBERTalex,20220715,10,390,mediana,759.5,751.5,-1.0533245556286985
RoBERTalex,20220715,10,390,P90,8905.900000000005,8905.900000000005,0.0
RoBERTalex,20220715,10,390,P95,16621.85,16245.499999999962,-2.264188402614853
RoBERTalex,20220815,10,390,mediana,759.5,735.0,-3.2258064516129004
RoBERTalex,20220815,10,390,P90,8905.900000000005,8905.900000000005,0.0
RoBERTalex,20220815,10,390,P95,16621.85,16650.35,0.1714610587870702
RoBERTalex,20221015,10,390,mediana,759.5,768.0,1.1191573403555033
RoBERTalex,20221015,10,390,P90,8905.900000000005,9173.600000000008,3.005872511481189
RoBERTalex,20221015,10,390,P95,16621.85,16650.35,0.1714610587870702
RoBERTalex,20221115,10,390,mediana,759.5,768.0,1.1191573403555033
RoBERTalex,20221115,10,390,P90,8905.900000000005,9173.600000000008,3.005872511481189
RoBERTalex,20221115,10,390,P95,16621.85,16650.35,0.1714610587870702
