issue_date,year,diary_number,section_code,section_name,department_code,department_name,epigraph,identifier,title,url_xml,url_html,url_pdf,source_format,sha256_text,char_count,word_count
20210415,2021,90,1,I. Disposiciones generales,9563,MINISTERIO DE EDUCACIÓN Y FORMACIÓN PROFESIONAL,Formación profesional. Títulos académicos,BOE-A-2021-5947,"Real Decreto 175/2021, de 23 de marzo, por el que se establece el curso de especialización en Sistemas de señalización y telecomunicaciones ferroviarias y se fijan los aspectos básicos del currículo.",https://www.boe.es/diario_boe/xml.php?id=BOE-A-2021-5947,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2021-5947,https://www.boe.es/boe/dias/2021/04/15/pdfs/BOE-A-2021-5947.pdf,xml,730db4c571eb3d5ffd97034b8e23db254291427abc2b243f5db33421841e21d6,119534,16610
20210415,2021,90,1,I. Disposiciones generales,9563,MINISTERIO DE EDUCACIÓN Y FORMACIÓN PROFESIONAL,Formación profesional. Títulos académicos,BOE-A-2021-5948,"Real Decreto 176/2021, de 23 de marzo, por el que se establece el curso de especialización en Mantenimiento avanzado de sistemas de material rodante ferroviario y se fijan los aspectos básicos del currículo.",https://www.boe.es/diario_boe/xml.php?id=BOE-A-2021-5948,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2021-5948,https://www.boe.es/boe/dias/2021/04/15/pdfs/BOE-A-2021-5948.pdf,xml,094d35c82f542d36097ba697dff8b3db7fc19017afd332c4e9269d5c4ef38d6c,129648,17985
20210415,2021,90,1,I. Disposiciones generales,9574,"MINISTERIO DE LA PRESIDENCIA, RELACIONES CON LAS CORTES Y MEMORIA DEMOCRÁTICA",Bachillerato,BOE-A-2021-5950,"Resolución de 10 de abril de 2021, de la Subsecretaría, por la que se publica la Resolución de 7 de abril de 2021, conjunta de la Secretaría de Estado de Educación y de la Secretaría General de Universidades, por la que se establecen las adaptaciones de la evaluación de Bachillerato para el acceso a la Universidad a las necesidades y situación de los centros españoles situados en el exterior del territorio nacional, los programas educativos en el exterior, los programas internacionales, el alumnado procedente de sistemas educativos extranjeros y las enseñanzas a distancia, en el curso 2020-2021.",https://www.boe.es/diario_boe/xml.php?id=BOE-A-2021-5950,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2021-5950,https://www.boe.es/boe/dias/2021/04/15/pdfs/BOE-A-2021-5950.pdf,xml,0723a49b6f3aecef941c55a3101c689eadca28a444d07ae3c73b7114c9bb6031,19186,2888
20210415,2021,90,2A,"II. Autoridades y personal. - A. Nombramientos, situaciones e incidencias",9563,MINISTERIO DE EDUCACIÓN Y FORMACIÓN PROFESIONAL,Destinos,BOE-A-2021-5955,"Resolución de 8 de abril de 2021, de la Subsecretaría, por la que se resuelve el concurso específico, convocado por Resolución de 22 de diciembre de 2020.",https://www.boe.es/diario_boe/xml.php?id=BOE-A-2021-5955,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2021-5955,https://www.boe.es/boe/dias/2021/04/15/pdfs/BOE-A-2021-5955.pdf,xml,23f5c8bc8f1814067edd5908e0d30be9c8a5f2b7d27df4e78025acc11c065206,2812,439
20210415,2021,90,2A,"II. Autoridades y personal. - A. Nombramientos, situaciones e incidencias",310,UNIVERSIDADES,Nombramientos,BOE-A-2021-5958,"Resolución de 22 de marzo de 2021, de la Universidad de Oviedo, por la que se nombra Profesor Titular de Universidad a don Diego Jaime Álvarez Laó.",https://www.boe.es/diario_boe/xml.php?id=BOE-A-2021-5958,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2021-5958,https://www.boe.es/boe/dias/2021/04/15/pdfs/BOE-A-2021-5958.pdf,xml,38e53eeac7f5fb924327409667e856edddaf478028f5e449b9c8dfac4026638b,1916,282
20210415,2021,90,2A,"II. Autoridades y personal. - A. Nombramientos, situaciones e incidencias",310,UNIVERSIDADES,Nombramientos,BOE-A-2021-5960,"Resolución de 25 de marzo de 2021, de la Universidad de Huelva, por la que se nombra Profesor Titular de Universidad a don Pedro Rufino Olivares Sánchez-Toledo.",https://www.boe.es/diario_boe/xml.php?id=BOE-A-2021-5960,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2021-5960,https://www.boe.es/boe/dias/2021/04/15/pdfs/BOE-A-2021-5960.pdf,xml,a4fa40dd2d5c3fb687f0d281856b2385a04725bd7cd138394749855d641032c3,1827,269
20210415,2021,90,2B,II. Autoridades y personal. - B. Oposiciones y concursos,9580,MINISTERIO DE UNIVERSIDADES,Funcionarios de la Administración del Estado,BOE-A-2021-5987,"Resolución de 31 de marzo de 2021, de la Subsecretaría, por la que se convoca la provisión de puesto de trabajo por el sistema de libre designación.",https://www.boe.es/diario_boe/xml.php?id=BOE-A-2021-5987,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2021-5987,https://www.boe.es/boe/dias/2021/04/15/pdfs/BOE-A-2021-5987.pdf,xml,71aab56ca3425accc832d9882685661b507b170f06d554ce700e93f878b6bb14,3860,586
20210415,2021,90,2B,II. Autoridades y personal. - B. Oposiciones y concursos,9525,ADMINISTRACIÓN LOCAL,Personal funcionario y laboral,BOE-A-2021-6012,"Resolución de 8 de abril de 2021, de la Diputación Provincial de A Coruña, referente a la convocatoria para proveer varias plazas.",https://www.boe.es/diario_boe/xml.php?id=BOE-A-2021-6012,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2021-6012,https://www.boe.es/boe/dias/2021/04/15/pdfs/BOE-A-2021-6012.pdf,xml,ae4a13d5643cc9ebd0930ea733ef95f11a462b8d8c0588288d4e08314a64bb30,2382,357
20210415,2021,90,3,III. Otras disposiciones,9578,MINISTERIO DE CONSUMO,Comunidad Autónoma de las Illes Balears. Convenio,BOE-A-2021-6037,"Resolución de 5 de abril de 2021, de la Secretaría General de Consumo y Juego, por la que se publica el Convenio con la Comunidad Autónoma de las Illes Balears, para la constitución de la Junta Arbitral de Consumo de la Comunidad Autónoma de las Illes Balears.",https://www.boe.es/diario_boe/xml.php?id=BOE-A-2021-6037,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2021-6037,https://www.boe.es/boe/dias/2021/04/15/pdfs/BOE-A-2021-6037.pdf,xml,cf2727d949958208042394a743d515cfc47bc602780d9a56ab62bcac63ede76c,12107,1862
20210415,2021,90,3,III. Otras disposiciones,1020,BANCO DE ESPAÑA,Mercado de divisas,BOE-A-2021-6040,"Resolución de 14 de abril de 2021, del Banco de España, por la que se publican los cambios del euro correspondientes al día 14 de abril de 2021, publicados por el Banco Central Europeo, que tendrán la consideración de cambios oficiales, de acuerdo con lo dispuesto en el artículo 36 de la Ley 46/1998, de 17 de diciembre, sobre la Introducción del Euro.",https://www.boe.es/diario_boe/xml.php?id=BOE-A-2021-6040,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2021-6040,https://www.boe.es/boe/dias/2021/04/15/pdfs/BOE-A-2021-6040.pdf,xml,e64d1ebe1e08f07c97f9e5e2a7900d731b4d4952de911fdda257b7c58544368b,1220,118
