categoria,termino,orthographic_words,subtokens_BETO,pieces_BETO,subtokens_RoBERTalex,pieces_RoBERTalex,subtokens_MEL,pieces_MEL,subtokens_MrBERT-legal,pieces_MrBERT-legal
formula_ritual,vistos los preceptos citados,4,4,vistos | los | preceptos | citados,4,Ġvistos | Ġlos | Ġpreceptos | Ġcitados,8,▁visto | s | ▁los | ▁pre | cept | os | ▁citado | s,6,▁vistos | ▁los | ▁pre | cept | os | ▁citados
formula_ritual,oídas las partes,3,4,oí | ##das | las | partes,3,ĠoÃŃdas | Ġlas | Ġpartes,5,▁o | ída | s | ▁las | ▁partes,4,▁o | ídas | ▁las | ▁partes
formula_ritual,previo informe favorable,3,3,previo | informe | favorable,3,Ġprevio | Ġinforme | Ġfavorable,3,▁previo | ▁informe | ▁favorable,3,▁previo | ▁informe | ▁favorable
formula_ritual,previa audiencia de los interesados,5,5,previa | audiencia | de | los | interesados,5,Ġprevia | Ġaudiencia | Ġde | Ġlos | Ġinteresados,5,▁previa | ▁audiencia | ▁de | ▁los | ▁interesados,5,▁previa | ▁audiencia | ▁de | ▁los | ▁interesados
formula_ritual,una vez cumplidos los trámites preceptivos,6,8,una | vez | cumplido | ##s | los | trámites | precep | ##tivos,6,Ġuna | Ġvez | Ġcumplidos | Ġlos | ĠtrÃ¡mites | Ġpreceptivos,10,▁una | ▁vez | ▁cumpli | dos | ▁los | ▁trámite | s | ▁pre | cep | tivos,8,▁una | ▁vez | ▁cumpl | idos | ▁los | ▁trámites | ▁precep | tivos
formula_ritual,contra la presente resolución podrá interponerse,6,7,contra | la | presente | resolución | podrá | interponer | ##se,6,Ġcontra | Ġla | Ġpresente | ĠresoluciÃ³n | ĠpodrÃ¡ | Ġinterponerse,8,▁contra | ▁la | ▁presente | ▁resolución | ▁podrá | ▁inter | pone | rse,8,▁contra | ▁la | ▁presente | ▁resolución | ▁podrá | ▁inter | pon | erse
formula_ritual,la presente resolución pone fin a la vía administrativa,9,9,la | presente | resolución | pone | fin | a | la | vía | administrativa,9,Ġla | Ġpresente | ĠresoluciÃ³n | Ġpone | Ġfin | Ġa | Ġla | ĠvÃŃa | Ġadministrativa,9,▁la | ▁presente | ▁resolución | ▁pone | ▁fin | ▁a | ▁la | ▁vía | ▁administrativa,9,▁la | ▁presente | ▁resolución | ▁pone | ▁fin | ▁a | ▁la | ▁vía | ▁administrativa
formula_ritual,notifíquese a las partes,4,6,noti | ##fí | ##quese | a | las | partes,5,Ġnoti | fÃŃquese | Ġa | Ġlas | Ġpartes,8,▁no | tif | í | ques | e | ▁a | ▁las | ▁partes,7,▁notif | í | qu | ese | ▁a | ▁las | ▁partes
formula_ritual,publíquese en el Boletín Oficial del Estado,7,9,pub | ##lí | ##quese | en | el | Boletín | Oficial | del | Estado,8,Ġpubl | ÃŃquese | Ġen | Ġel | ĠBoletÃŃn | ĠOficial | Ġdel | ĠEstado,11,▁pub | lí | ques | e | ▁en | ▁el | ▁Bole | tín | ▁Oficial | ▁del | ▁Estado,10,▁pub | lí | qu | ese | ▁en | ▁el | ▁Boletín | ▁Oficial | ▁del | ▁Estado
formula_ritual,comuníquese a los interesados,4,6,comun | ##íqu | ##ese | a | los | interesados,5,Ġcomun | ÃŃquese | Ġa | Ġlos | Ġinteresados,7,▁comun | í | ques | e | ▁a | ▁los | ▁interesados,7,▁comun | í | qu | ese | ▁a | ▁los | ▁interesados
