identifier,issue_date,year,section_code,section_name,department_name,char_count,word_count,tokens_BETO,tokens_RoBERTalex,tokens_MEL,tokens_MrBERT-legal
BOE-A-2022-16831,20221015,2022,2A,"II. Autoridades y personal. - A. Nombramientos, situaciones e incidencias",MINISTERIO DE POLÍTICA TERRITORIAL,1914,285,413,380,434,468
BOE-A-2022-16832,20221015,2022,2A,"II. Autoridades y personal. - A. Nombramientos, situaciones e incidencias",CONSEJO DE SEGURIDAD NUCLEAR,1933,286,458,399,480,505
BOE-A-2022-16833,20221015,2022,2A,"II. Autoridades y personal. - A. Nombramientos, situaciones e incidencias",UNIVERSIDADES,1956,293,419,382,458,471
BOE-A-2022-16860,20221015,2022,2B,II. Autoridades y personal. - B. Oposiciones y concursos,"MINISTERIO DE INCLUSIÓN, SEGURIDAD SOCIAL Y MIGRACIONES",3253,477,675,619,739,748
BOE-A-2022-16871,20221015,2022,2B,II. Autoridades y personal. - B. Oposiciones y concursos,ADMINISTRACIÓN LOCAL,855,133,179,167,194,192
BOE-A-2022-16872,20221015,2022,2B,II. Autoridades y personal. - B. Oposiciones y concursos,ADMINISTRACIÓN LOCAL,906,138,190,182,215,224
BOE-A-2022-16880,20221015,2022,3,III. Otras disposiciones,MINISTERIO DE DEFENSA,6207,893,1396,1272,1413,1665
BOE-A-2022-16883,20221015,2022,3,III. Otras disposiciones,MINISTERIO DE EDUCACIÓN Y FORMACIÓN PROFESIONAL,22382,3427,4266,4027,4635,4528
BOE-A-2022-18705,20221115,2022,1,I. Disposiciones generales,MINISTERIO DEL INTERIOR,3749,561,762,699,828,860
BOE-A-2022-18706,20221115,2022,1,I. Disposiciones generales,MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO,5592,844,1319,1174,1337,1526
BOE-A-2022-18710,20221115,2022,2A,"II. Autoridades y personal. - A. Nombramientos, situaciones e incidencias",MINISTERIO DE HACIENDA Y FUNCIÓN PÚBLICA,3326,498,693,631,737,792
BOE-A-2022-18713,20221115,2022,2A,"II. Autoridades y personal. - A. Nombramientos, situaciones e incidencias",MINISTERIO DE CULTURA Y DEPORTE,2496,364,559,517,588,644
BOE-A-2022-18714,20221115,2022,2A,"II. Autoridades y personal. - A. Nombramientos, situaciones e incidencias",MINISTERIO DE DERECHOS SOCIALES Y AGENDA 2030,2487,378,564,518,606,637
BOE-A-2022-18734,20221115,2022,2B,II. Autoridades y personal. - B. Oposiciones y concursos,MINISTERIO DE SANIDAD,3587,531,752,703,833,841
BOE-A-2022-18752,20221115,2022,2B,II. Autoridades y personal. - B. Oposiciones y concursos,ADMINISTRACIÓN LOCAL,756,116,162,154,184,184
